download_image,positive_image,distance
yasmine_2.jpeg,yasmine_cropped.png,0.4672604203224182
hoda_cropped.png,hoda_cropped.png,0.0
yasmine_cropped copie.png,yasmine_cropped.png,0.0
yasmine_cropped.png,yasmine_cropped.png,0.0
photo.png,yasmine_cropped.png,0.7216211557388306
moustapha.jpeg,moustapha.jpeg,0.0
photo (4).png,hugo.jpeg,0.7087450623512268
hoda_cropped copie 2.png,hoda_cropped.png,0.0
photo (2).png,yasmine_cropped.png,0.5131093859672546
hoda_cropped copie.png,hoda_cropped.png,0.0
photo (3).png,hoda_cropped.png,0.6588647365570068
